category	score	size_bytes	mtime	sha256	source_path	snapshot_path	development_markers
point_products	1	32979	2026-08-20T16:46:04.107662	f9ea1aa749b14174ed92cb02c853421f6a84e0acf7705e2a033ff590230e15db	/tmp/pipeline_before_p8g2_final_20260820_164604.py	files/point_products/pipeline_before_p8g2_final_20260820_164604__f9ea1aa749.py	
point_products	1	14898	2026-08-20T18:28:41.020540	5cf26d6aa48b1453b339b2b491bec55effffe15c4e2e893814c90a2ea5165f21	/tmp/pypsds_contract_fix_20260820_183852/freeze_stage_output_contracts.py	files/point_products/freeze_stage_output_contracts__5cf26d6aa4.py	
point_products	1	39045	2026-08-20T22:53:11	70e9578d452f64b66277c614c4ee10388ce829cc7d3947f2e8c7e33d2b8c0665	/tmp/pypsds_portable_v1_bundle_20260821_062314/source/pypsds/pipeline.py	files/point_products/pipeline__70e9578d45.py	
point_products	1	16440	2026-08-20T20:01:49	7c19fbe122cea8a48c62e62fa261bd4a8dba75177ec87b3b4cb5d4f5e8e333b1	/tmp/pypsds_portable_v1_bundle_20260821_062314/source/tools/freeze_stage_output_contracts.py	files/point_products/freeze_stage_output_contracts__7c19fbe122.py	
point_products	1	16404	2026-08-20T18:38:52.928540	3a97984564888b229dd5f7c78efbb23a53050098e8f86118811cb2eea7b91101	/tmp/pypsds_v1_local_commit_bundle_20260820_184557/files/tools/freeze_stage_output_contracts.py	files/point_products/freeze_stage_output_contracts__3a97984564.py	
point_products	1	36512	2026-08-20T19:12:39	2f826aeb77996e0bbf395df7edc6643da9f7063a8837324a1ec2b1a033e5878a	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/pypsds/pipeline.py	files/point_products/pipeline__2f826aeb77.py	
point_products	1	16400	2026-08-20T19:12:39	af1c0cb0065ff7ec572ff775c2875ce7c14b104810b69242edcf1a1bf9e33983	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/tools/freeze_stage_output_contracts.py	files/point_products/freeze_stage_output_contracts__af1c0cb006.py	
point_products	1	14196	2026-08-18T14:20:34.098652	c6b7f5b6dbd28ea94ef61a3aa33b17a2d516accd3b330ab0017aae6a85022414	/tmp/pypsds_v1_release_cleanup_20260820_182840/tools/freeze_stage_output_contracts.py	files/point_products/freeze_stage_output_contracts__c6b7f5b6db.py	
scla	41	26236	2026-08-24T18:31:36.473358	967d439c53de5ea5ac14f82ad58a4da338ff97cbe3520b38d4b14878aba00eb2	/tmp/p15_5b5_stamps_final_pass_c.py	files/scla/p15_5b5_stamps_final_pass_c__967d439c53.py	P15,PASS_STAMPS,p15_,prototype,smoke
scla	40	27663	2026-08-24T19:28:05.967817	685f3ce84b87fe25aaf219b8eb38bf3693712a51f39767105cf459c12a311e1b	/tmp/p15_5b6_materialize_pre_scn.py	files/scla/p15_5b6_materialize_pre_scn__685f3ce84b.py	P15,PASS_STAMPS,p15_,smoke
scla	40	378375	2026-08-15T12:01:31.347348	72dcd9e09ec4ca3a5df77eec327a07c9b3b7bd486cc283679225fe0ca181a3ac	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/pipeline/ported.py	files/scla/ported__72dcd9e09e.py	
scla	40	45194	2026-08-15T12:01:31.347348	f24136f9acff79ffa1917472180603a4ed2a9a1536621b3489c9896280fd1439	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/pipeline/stage7_sbas.py	files/scla/stage7_sbas__f24136f9ac.py	
scla	22	16804	2026-08-18T07:17:17	98f90d913f22a179f32d319c28562143255d3fd89142030c01794f742cd35f24	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r5a_audit_mature_pystamps_stage7_v09.py	files/scla/10r5a_audit_mature_pystamps_stage7_v09__98f90d913f.py	prototype
scla	21	33746	2026-08-15T12:01:31.347348	27360aacbd766dec045dcf9f58e7b2296680b1b5c68520f38718b756a0c4bd93	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/pipeline/stage8_sbas.py	files/scla/stage8_sbas__27360aacbd.py	
scla	21	44635	2026-08-12T01:38:48	6f47887c982b150b6d04df43f64ee4c99f51b51cda80aa900adb7b82fb8b0a2b	/tmp/v62/stage78_layer_attribution_v6_2/stage78_layer_attribution_v6_2.py	files/scla/stage78_layer_attribution_v6_2__6f47887c98.py	
scla	18	35093	2026-08-15T12:01:31.339348	78c6eeb79ea2a92ae03a24d9e64e777bf43360a6de4513565a3201e5dc3cb4d3	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/kernels/accelerated.py	files/scla/accelerated__78c6eeb79e.py	
scla	10	13196	2026-08-24T19:15:22.223817	5619002f64a04ac1dc2ef5b3dde7d52005164635617cf7ad005315428701c5e7	/tmp/p15_5b5a_sm_cov_gauge_audit.py	files/scla/p15_5b5a_sm_cov_gauge_audit__5619002f64.py	P15,p15_,prototype
scla	10	35537	2026-08-17T23:31:53	8e2ff9b795b29f4d9552da0eaff0fe6cf8685320430ddb70e1875645250dbfa9	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r4b_build_pystamps_stage7_bridge_v09.py	files/scla/10r4b_build_pystamps_stage7_bridge_v09__8e2ff9b795.py	prototype
scla	8	12671	2026-08-12T11:53:54	c81c30b0b9ab0f14d17f772835c682a6148a47f83ee12c6df20ce6321eae3fcd	/tmp/prod_v65/pystamps_production_stage78_v6_5/apply_production_patch_v6_5.py	files/scla/apply_production_patch_v6_5__c81c30b0b9.py	
scla	8	26346	2026-08-17T23:22:34	114ceace0b0e0bf6161643cc8e2e4bd0bdcd72de3274d02384f7967ced2e42e2	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r4a_stage7_bridge_contract_preflight_v09.py	files/scla/10r4a_stage7_bridge_contract_preflight_v09__114ceace0b.py	prototype
scla	8	20822	2026-08-18T07:20:29	8ea09e1a2d7008ab50767e0593c54067ca032d10b3b1ffc915053681496823e6	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r5b_validate_mature_stage7_scla_v09.py	files/scla/10r5b_validate_mature_stage7_scla_v09__8ea09e1a2d.py	prototype
